Membership No  Date Joined  Active  
    79255      2015-8-15    no    
    98433      2016-11-5    no    
    23478      2018-7-22    no    
    22216      2015-5-2     no    
    46342      2019-3-8     no    
    50127      2018-12-11   no    
    58197      2015-7-8     no    
    84678      2015-9-23    no    
    55825      2016-9-9     no    
    22311      2015-10-17   no    
    65847      2017-12-13   no    
    11842      2017-9-4     no    
    24893      2018-3-12    no    
    94148      2020-11-22   no    
    64063      2015-4-18    no    
